filename,type
two_col_43791,v_bar
84985912004897,h_bar
two_col_42338,h_bar
6390,line
two_col_20849,v_bar
multi_col_60841,v_bar
2167,pie
two_col_41002,v_bar
12218,line
two_col_2827,h_bar
two_col_21303,v_bar
two_col_3905,line
7332,line
two_col_104867,pie
multi_col_614,v_bar
two_col_102582,v_bar
two_col_1519,v_bar
two_col_62511,line
multi_col_20788,v_bar
two_col_102065,v_bar
two_col_61077,v_bar
multi_col_20950,h_bar
multi_col_40510,v_bar
two_col_81121,v_bar
two_col_1267,h_bar
10101,h_bar
multi_col_80447,line
two_col_60967,v_bar
two_col_796,v_bar
two_col_1655,h_bar
two_col_41615,v_bar
multi_col_101183,v_bar
two_col_81984,v_bar
two_col_61339,v_bar
two_col_4522,v_bar
two_col_60,h_bar
two_col_23255,line
multi_col_20029,line
two_col_21680,h_bar
two_col_43258,v_bar
two_col_22795,v_bar
two_col_104436,v_bar
two_col_5695,line
two_col_6262,v_bar
multi_col_80113,v_bar
two_col_3371,v_bar
two_col_81740,v_bar
two_col_80014,v_bar
two_col_2299,v_bar
two_col_42259,h_bar
two_col_63575,line
multi_col_40337,v_bar
two_col_22213,h_bar
14915,pie
two_col_21692,h_bar
two_col_40835,h_bar
two_col_20913,h_bar
two_col_61261,v_bar
two_col_40144,v_bar
two_col_21047,h_bar
multi_col_101022,v_bar
OECD_GDP_PER_HOUR_WORKED_GBR_GRC_NOR_USA_000068,line
two_col_23070,line
12228183002539,line
two_col_20196,v_bar
two_col_104488,pie
two_col_60199,h_bar
multi_col_101190,v_bar
two_col_80075,v_bar
1912,h_bar
two_col_2007,v_bar
two_col_20178,v_bar
two_col_43929,v_bar
two_col_101416,v_bar
12529,pie
two_col_103519,v_bar
two_col_60297,pie
two_col_1605,h_bar
two_col_1736,h_bar
two_col_40842,v_bar
multi_col_80504,v_bar
two_col_4259,h_bar
multi_col_60880,v_bar
two_col_42898,v_bar
two_col_60409,line
two_col_100897,h_bar
two_col_6194,h_bar
1777,h_bar
two_col_557,line
two_col_22843,v_bar
two_col_22367,v_bar
multi_col_1511,h_bar
two_col_4987,line
two_col_101496,v_bar
two_col_23847,line
two_col_21627,h_bar
two_col_61417,v_bar
two_col_63774,v_bar
two_col_61822,h_bar
4605,line
two_col_80967,v_bar
2606,h_bar
two_col_101505,h_bar
two_col_3291,h_bar
two_col_23223,h_bar
two_col_21580,v_bar
two_col_24199,v_bar
2608,h_bar
two_col_3575,line
two_col_22902,h_bar
two_col_102981,v_bar
two_col_41663,line
two_col_101228,v_bar
multi_col_60654,h_bar
two_col_5839,v_bar
two_col_5636,v_bar
two_col_5784,v_bar
two_col_1332,line
two_col_386,h_bar
multi_col_100614,h_bar
two_col_102595,v_bar
two_col_22842,h_bar
two_col_41465,v_bar
two_col_23350,v_bar
two_col_40217,v_bar
two_col_5433,line
two_col_80965,v_bar
two_col_61352,v_bar
two_col_104448,v_bar
