image,class,ocr_text
multi_col_844,legend_label,Intel
multi_col_844,legend_label,‘exas Instrument
multi_col_844,legend_label,Sony
multi_col_844,legend_label,} Sony
multi_col_844,legend_label,Samsunc
multi_col_844,legend_label,
multi_col_844,legend_label,Hitachi
multi_col_844,x_axis_label,201C
multi_col_844,x_axis_label,201
multi_col_844,x_axis_label,1 2015
two_col_3114,x_axis_label,2017
two_col_3114,x_axis_label,2015
two_col_3114,x_axis_label,2nNC
two_col_3114,x_axis_label,2020
two_col_3114,x_axis_label,N16
two_col_3114,x_axis_label,2014
two_col_3114,x_axis_label,201°
two_col_3114,x_axis_label,IHIC
two_col_3114,x_axis_label,2010
two_col_3114,x_axis_label,017
two_col_3114,x_axis_label,2017
two_col_3114,x_axis_label,2011
multi_col_20090,legend_label,tertainment and Licensir
multi_col_20090,legend_label,US. and Canad
multi_col_20090,x_axis_label,2018
multi_col_20090,legend_label,International
multi_col_20090,x_axis_label,201C
multi_col_20090,x_axis_label,200¢
multi_col_20090,x_axis_label,2011
multi_col_20090,x_axis_label,2017
multi_col_20090,x_axis_label,201
multi_col_20090,x_axis_label,2015
multi_col_20090,x_axis_label,2018
multi_col_20090,x_axis_label,2012
multi_col_20090,x_axis_label,2020
multi_col_20090,x_axis_label,Ole
multi_col_20090,x_axis_label,201¢
two_col_5292,x_axis_label,2010 Vancouve
two_col_5292,x_axis_label,2018 PyeongChang
two_col_5292,x_axis_label,2014 Sochi
multi_col_765,legend_label,65+ year
multi_col_765,legend_label,15-64 year:
multi_col_765,legend_label,0-14 vear:
multi_col_765,x_axis_label,201
multi_col_765,x_axis_label,201?
multi_col_765,x_axis_label,200¢
multi_col_765,x_axis_label,2014
multi_col_765,x_axis_label,2016
multi_col_765,x_axis_label,2011
multi_col_765,x_axis_label,201C
multi_col_765,x_axis_label,201°
multi_col_765,x_axis_label,201C
multi_col_765,x_axis_label,2013
multi_col_765,x_axis_label,2018
two_col_1693,x_axis_label,
two_col_1693,x_axis_label,
two_col_1693,x_axis_label,Inited Kinador
two_col_1693,x_axis_label,Bosnia and Herzegovinz
two_col_1693,x_axis_label,Turkey
two_col_1693,x_axis_label,Lebanor
two_col_1693,x_axis_label,
two_col_1693,x_axis_label,Indic
two_col_1693,x_axis_label,German
two_col_1693,x_axis_label,Lithuaniz
two_col_1693,x_axis_label,Ukraine
two_col_1693,x_axis_label,Romaniz
two_col_1693,x_axis_label,Chin:
two_col_1693,x_axis_label,Afqhanictat
two_col_1693,x_axis_label,Thailanc
two_col_1693,x_axis_label,Poland
two_col_1693,x_axis_label,Norway
two_col_1693,x_axis_label,
two_col_1693,x_axis_label,Syriz
two_col_1693,x_axis_label,Dakictar
two_col_81686,x_axis_label,"04"")?"
two_col_81686,x_axis_label,33'12
two_col_81686,x_axis_label,94 '1
two_col_81686,x_axis_label,0? '12
two_col_81686,x_axis_label,
two_col_81686,x_axis_label,51 '14
two_col_81686,x_axis_label,51°73
two_col_81686,x_axis_label,
two_col_81686,x_axis_label,074
two_col_81686,x_axis_label,72°14
two_col_81686,x_axis_label,41°12
two_col_22280,x_axis_label,2045
two_col_22280,x_axis_label,2035
two_col_22280,x_axis_label,2050
two_col_22280,x_axis_label,nar
two_col_22280,x_axis_label,2071
two_col_22280,x_axis_label,2025
two_col_22280,x_axis_label,22°
two_col_102466,x_axis_label,2020
two_col_102466,x_axis_label,2015
two_col_102466,x_axis_label,NIC
two_col_102466,x_axis_label,2016
two_col_102466,x_axis_label,2013
two_col_102466,x_axis_label,201s
two_col_24496,x_axis_label,Not buvina this vear
two_col_24496,x_axis_label,About the same
two_col_24496,x_axis_label,More
two_col_24496,x_axis_label,
two_col_103174,x_axis_label,"2026"""
two_col_103174,x_axis_label,"20] 9"""
two_col_103174,x_axis_label,202?:
two_col_103174,x_axis_label,"201)? 3"""
two_col_103174,x_axis_label,220%
two_col_103174,x_axis_label,2018
two_col_103174,x_axis_label,274%
two_col_103174,x_axis_label,"2025"""
two_col_103174,x_axis_label,2017
two_col_103174,x_axis_label,"2021"""
two_col_103174,x_axis_label,016
two_col_42062,x_axis_label,inited Kingdor
two_col_42062,x_axis_label,Turkev
two_col_42062,x_axis_label,1e Netherland
two_col_42062,x_axis_label,Spain
two_col_42062,x_axis_label,Brazil
two_col_42062,x_axis_label,witzerland
two_col_42062,x_axis_label,Mexicc
two_col_42062,x_axis_label,Te
two_col_42062,x_axis_label,
two_col_42062,x_axis_label,Pa adn
two_col_42062,x_axis_label,Crance
two_col_42062,x_axis_label,USA
two_col_42062,x_axis_label,Diccin
two_col_42062,x_axis_label,-ermany
two_col_42062,x_axis_label,Italy
two_col_4518,x_axis_label,2005
two_col_4518,x_axis_label,20124
two_col_4518,x_axis_label,2006
two_col_4518,x_axis_label,N1¢°
two_col_4518,x_axis_label,2017
two_col_4518,x_axis_label,2012
two_col_4518,x_axis_label,2010
two_col_4518,x_axis_label,NIE
two_col_4518,x_axis_label,2007
two_col_4518,x_axis_label,2NNs
two_col_4518,x_axis_label,2017
two_col_4518,x_axis_label,200%
two_col_4518,x_axis_label,2011
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,s
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_106,x_axis_label,
two_col_3164,x_axis_label,UPS
two_col_3164,x_axis_label,‘avernment of Kore-z
two_col_3164,x_axis_label,‘rain Auctralia Airline<
two_col_3164,x_axis_label,Enter Air Sp. z 0.0
two_col_3164,x_axis_label,\ll Nippon Airways
two_col_3164,x_axis_label,IHL Aviation Americas
two_col_3164,x_axis_label,SS lapan International Tanker
two_col_3164,x_axis_label,FedEx Express
two_col_3164,x_axis_label,
two_col_3164,x_axis_label,Lease Cornoratior
two_col_3164,x_axis_label,DS New Zealand P-&
two_col_3164,x_axis_label,‘hina Cargo
two_col_3164,x_axis_label,inidentified
two_col_3164,x_axis_label,DS US. Navy (P-8A Poseidon’
two_col_3164,x_axis_label,EVA Ais
two_col_3164,x_axis_label,Oman Ai
two_col_42049,x_axis_label,All emplovee:
two_col_42049,x_axis_label,~rades & and 7
two_col_42049,x_axis_label,"Senior Civil
ee"
two_col_42049,x_axis_label,"xecutiv
awe"
two_col_42049,x_axis_label,"\dministrativ
Officers and
“Aeosetante"
two_col_42049,x_axis_label,"Senior and
figher Executiv
‘Srhcere"
two_col_101828,x_axis_label,exington/Fayette. KY
two_col_101828,x_axis_label,ceottedale Az
two_col_101828,x_axis_label,jew Orleans. LA
two_col_101828,x_axis_label,Tylsa. OF
two_col_101828,x_axis_label,‘ansas City. MO
two_col_101828,x_axis_label,Tampa FI
two_col_101828,x_axis_label,St Louis. MC
two_col_101828,x_axis_label,Sacramento. CZ
two_col_101828,x_axis_label,Spokane. Wi
two_col_101828,x_axis_label,Minneapolis. MN
two_col_101828,x_axis_label,ye< Moinec IA
two_col_101828,x_axis_label,Cincinnati. OF
two_col_101828,x_axis_label,ortland OF
two_col_101828,x_axis_label,c+ Day) MP
two_col_101828,x_axis_label,Louisville. K’
two_col_101828,x_axis_label,Omaha. NE
two_col_101828,x_axis_label,Lincoln. NE
two_col_101828,x_axis_label,Aurora CO
two_col_101828,x_axis_label,carland. TD)
two_col_101828,x_axis_label,Jadison. V
two_col_42862,x_axis_label,2020
two_col_42862,x_axis_label,201 3°
two_col_42862,x_axis_label,200¢
two_col_42862,x_axis_label,2022
two_col_42862,x_axis_label,2011
two_col_42862,x_axis_label,2017
two_col_42862,x_axis_label,2015
two_col_42862,x_axis_label,2010
two_col_42862,x_axis_label,20?)
two_col_42862,x_axis_label,M12
two_col_42862,x_axis_label,201¢
two_col_42862,x_axis_label,2012
two_col_42862,x_axis_label,NIE
two_col_42862,x_axis_label,2015
multi_col_20057,x_axis_label,
multi_col_20057,legend_label,Surnam
multi_col_20057,legend_label,Middle nam
multi_col_20057,legend_label,First nam
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
multi_col_20057,x_axis_label,
18254,legend_label,"Mostly bad
news"
18254,legend_label,"Mostly good
ewe"
two_col_103253,x_axis_label,‘outh Dakota
two_col_103253,x_axis_label,Texas
two_col_103253,x_axis_label,
two_col_103253,x_axis_label,Montanz
two_col_103253,x_axis_label,Yklahom:
two_col_103253,x_axis_label,Visconsir
two_col_103253,x_axis_label,Kansas
two_col_103253,x_axis_label,Jebraska
two_col_103253,x_axis_label,“oloradc
two_col_103253,x_axis_label,Missouri
two_col_4668,x_axis_label,Vale
two_col_4668,x_axis_label,“iret Quantum
two_col_4668,x_axis_label,‘reeport-McMoRan*
two_col_4668,x_axis_label,Southern Copper
two_col_4668,x_axis_label,Din Tinte
two_col_4668,x_axis_label,ntofanact:
two_col_4668,x_axis_label,\nglo Americar
two_col_4668,x_axis_label,PLD Billiton
two_col_4668,x_axis_label,Codelcr
two_col_4668,x_axis_label,Hlencore
two_col_4668,x_axis_label,KCHM
1204,legend_label,Medium distress
1204,legend_label,49%
1204,legend_label,High distress
1204,legend_label,Low distress
1204,x_axis_label,65+
1204,x_axis_label,All adults
1204,x_axis_label,
1204,x_axis_label,
1204,x_axis_label,Ages 18-29
multi_col_929,legend_label,
multi_col_929,legend_label,
multi_col_929,x_axis_label,O4
multi_col_929,x_axis_label,2
multi_col_929,x_axis_label,Ol
multi_col_929,x_axis_label,QO?
20559489000721,x_axis_label,111
20559489000721,x_axis_label,Autocracies
20559489000721,x_axis_label,Democracies
two_col_3094,x_axis_label,
two_col_3094,x_axis_label,
two_col_3094,x_axis_label,
two_col_3094,x_axis_label,
two_col_3094,x_axis_label,
two_col_3094,x_axis_label,
two_col_3094,x_axis_label,
two_col_3094,x_axis_label,
two_col_3094,x_axis_label,
two_col_3094,x_axis_label,"Ge
ey"
multi_col_21052,x_axis_label,USA
multi_col_21052,x_axis_label,Inited Kinador
multi_col_21052,legend_label,301)
multi_col_21052,x_axis_label,Ital
multi_col_21052,x_axis_label,Indic
multi_col_21052,x_axis_label,Ikraing
multi_col_21052,x_axis_label,
multi_col_21052,x_axis_label,Netherland
multi_col_21052,x_axis_label,Spair
multi_col_21052,legend_label,201!
multi_col_21052,x_axis_label,Cenrni
multi_col_21052,x_axis_label,Austriz
multi_col_21052,x_axis_label,Turke
multi_col_21052,x_axis_label,Romani:
multi_col_21052,x_axis_label,
multi_col_21052,x_axis_label,hin:
multi_col_21052,x_axis_label,German
multi_col_21052,x_axis_label,Franc
multi_col_21052,x_axis_label,Russi
multi_col_21052,x_axis_label,
multi_col_21052,x_axis_label,Vietnan
multi_col_21052,x_axis_label,Nonva
multi_col_21052,x_axis_label,Bulaariz
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_60407,x_axis_label,
two_col_43571,x_axis_label,2015
two_col_43571,x_axis_label,017
two_col_43571,x_axis_label,201¢
two_col_43571,x_axis_label,201¢
two_col_43571,x_axis_label,220
two_col_43571,x_axis_label,Mle
two_col_43571,x_axis_label,2015
two_col_43571,x_axis_label,201 -
