filename,type
two_col_1718,line
two_col_3725,v_bar
two_col_2837,h_bar
two_col_62298,v_bar
multi_col_20558,v_bar
two_col_82536,v_bar
two_col_41002,v_bar
two_col_43195,v_bar
two_col_1348,h_bar
multi_col_100075,v_bar
multi_col_60346,line
two_col_3375,line
multi_col_80112,v_bar
two_col_22486,v_bar
multi_col_20108,v_bar
two_col_692,v_bar
two_col_41452,h_bar
two_col_2134,v_bar
two_col_24102,v_bar
two_col_102878,v_bar
two_col_63489,v_bar
two_col_63173,v_bar
two_col_41901,v_bar
7332,line
multi_col_80811,v_bar
two_col_2564,h_bar
two_col_63523,line
two_col_82865,v_bar
two_col_104105,h_bar
two_col_21750,v_bar
two_col_40243,v_bar
OECD_HOUSEHOLD_SAVINGS_FORECAST_HUN_NZL_000013,v_bar
8182,h_bar
two_col_40756,v_bar
two_col_21245,h_bar
two_col_23278,v_bar
two_col_104410,line
two_col_101612,v_bar
two_col_100900,v_bar
two_col_22890,h_bar
two_col_42291,v_bar
two_col_63466,v_bar
two_col_82920,h_bar
two_col_103785,v_bar
multi_col_1280,h_bar
two_col_102897,v_bar
two_col_20907,h_bar
multi_col_100833,h_bar
two_col_2421,line
two_col_101242,v_bar
8028,h_bar
two_col_62627,v_bar
two_col_41147,v_bar
two_col_22469,v_bar
two_col_20454,v_bar
two_col_3660,v_bar
two_col_6198,v_bar
two_col_43480,v_bar
two_col_82189,v_bar
two_col_62277,v_bar
two_col_6032,line
multi_col_233,line
multi_col_60203,h_bar
two_col_3230,h_bar
two_col_23501,v_bar
two_col_104369,v_bar
two_col_42012,v_bar
two_col_81526,h_bar
two_col_60860,v_bar
multi_col_40066,v_bar
two_col_807,h_bar
multi_col_60829,v_bar
two_col_2708,h_bar
multi_col_60983,line
two_col_5167,h_bar
two_col_23151,v_bar
two_col_61322,v_bar
two_col_81176,v_bar
04910323003738,h_bar
multi_col_101058,h_bar
17098927006493,h_bar
two_col_40185,v_bar
two_col_42911,line
two_col_4326,v_bar
two_col_80337,h_bar
two_col_60499,v_bar
multi_col_40965,v_bar
two_col_3119,v_bar
multi_col_100219,v_bar
two_col_1124,h_bar
two_col_5864,v_bar
multi_col_60080,v_bar
two_col_80767,v_bar
two_col_60533,line
two_col_40886,v_bar
two_col_102317,v_bar
two_col_1574,h_bar
two_col_41794,v_bar
two_col_80788,h_bar
multi_col_20221,v_bar
two_col_41281,v_bar
two_col_21880,v_bar
two_col_103910,v_bar
two_col_102602,v_bar
two_col_20792,v_bar
two_col_1061,h_bar
two_col_42854,v_bar
two_col_4263,h_bar
multi_col_60595,h_bar
15866,line
two_col_411,h_bar
two_col_102252,v_bar
two_col_1431,h_bar
two_col_23917,line
4637,line
two_col_22605,line
two_col_40490,h_bar
multi_col_1516,v_bar
two_col_103013,v_bar
two_col_23444,v_bar
two_col_24381,line
two_col_62918,v_bar
multi_col_40573,v_bar
multi_col_1146,line
two_col_42507,v_bar
two_col_23014,v_bar
two_col_101184,v_bar
two_col_21029,h_bar
two_col_5022,v_bar
two_col_63574,v_bar
two_col_82832,v_bar
two_col_21707,h_bar
two_col_40214,v_bar
two_col_42229,pie
two_col_102985,line
multi_col_80846,v_bar
14046257021876,line
two_col_24505,h_bar
two_col_2533,v_bar
2537,h_bar
two_col_61119,v_bar
two_col_63124,v_bar
two_col_40644,line
two_col_42679,v_bar
two_col_104502,h_bar
two_col_23690,v_bar
2167,pie
two_col_22982,v_bar
two_col_42383,v_bar
two_col_82998,v_bar
two_col_60358,v_bar
16437,pie
two_col_20116,v_bar
two_col_102086,line
two_col_43438,v_bar
multi_col_321,v_bar
two_col_41405,v_bar
two_col_3322,h_bar
multi_col_60311,line
two_col_100541,h_bar
two_col_62735,v_bar
two_col_60708,h_bar
two_col_43068,v_bar
multi_col_771,v_bar
4549,line
two_col_3772,v_bar
multi_col_80515,h_bar
OECD_STUDENTS_PER_TEACHING_STAFF_DEU_ESP_NOR_000002,v_bar
two_col_43087,h_bar
two_col_3267,v_bar
two_col_100404,h_bar
two_col_82074,v_bar
two_col_62220,v_bar
multi_col_264,line
multi_col_100537,v_bar
two_col_3637,v_bar
multi_col_60604,v_bar
two_col_100054,h_bar
two_col_2925,h_bar
16122,pie
two_col_62670,v_bar
multi_col_634,v_bar
two_col_20403,h_bar
two_col_101215,v_bar
two_col_103228,h_bar
two_col_43984,v_bar
multi_col_40318,h_bar
multi_col_20919,h_bar
05661573006964,h_bar
two_col_63431,h_bar
two_col_82977,v_bar
7670,h_bar
two_col_40351,h_bar
two_col_2026,v_bar
two_col_101645,v_bar
multi_col_40748,h_bar
two_col_83235,v_bar
two_col_63061,line
two_col_81208,v_bar
two_col_40701,v_bar
two_col_41813,v_bar
two_col_21212,v_bar
two_col_5219,h_bar
multi_col_20763,h_bar
two_col_503,h_bar
two_col_23805,v_bar
two_col_41239,v_bar
two_col_43204,v_bar
two_col_21838,v_bar
two_col_5833,v_bar
two_col_4721,v_bar
two_col_100687,h_bar
multi_col_80283,h_bar
two_col_81822,h_bar
two_col_80730,line
OECD_HOURS_WORKED_BEL_CHL_NZL_SWE_000094,line
multi_col_40932,v_bar
two_col_5999,v_bar
two_col_103802,v_bar
two_col_21992,v_bar
two_col_20680,h_bar
two_col_102710,line
multi_col_80329,line
two_col_1489,v_bar
two_col_41669,line
two_col_43654,v_bar
two_col_80360,v_bar
two_col_60134,v_bar
two_col_104294,v_bar
multi_col_1054,v_bar
two_col_42415,v_bar
two_col_101096,line
two_col_23106,v_bar
two_col_5130,h_bar
two_col_81121,v_bar
two_col_30,h_bar
two_col_850,h_bar
two_col_23556,h_bar
two_col_24293,v_bar
two_col_5560,v_bar
two_col_42045,h_bar
841,pie
two_col_63718,v_bar
two_col_81571,line
two_col_60837,h_bar
multi_col_60891,v_bar
two_col_42550,line
two_col_23043,v_bar
two_col_61230,h_bar
9951,h_bar
10760,h_bar
two_col_103414,v_bar
two_col_21584,v_bar
two_col_40097,v_bar
multi_col_1111,v_bar
two_col_5425,v_bar
two_col_101583,v_bar
two_col_42100,v_bar
two_col_61660,v_bar
two_col_3908,h_bar
two_col_1935,h_bar
two_col_103044,h_bar
20472596010311,line
two_col_104781,h_bar
two_col_43341,v_bar
two_col_5976,h_bar
two_col_23940,v_bar
multi_col_458,v_bar
two_col_22652,h_bar
two_col_81967,h_bar
72569599005125,line
two_col_60421,v_bar
multi_col_20626,v_bar
two_col_446,h_bar
two_col_40994,v_bar
two_col_100238,h_bar
two_col_102205,h_bar
two_col_41686,v_bar
two_col_6209,v_bar
multi_col_80796,v_bar
two_col_4234,v_bar
15831,line
two_col_82218,h_bar
two_col_80225,v_bar
multi_col_60038,v_bar
two_col_43584,h_bar
two_col_2876,v_bar
multi_col_60757,v_bar
multi_col_80503,v_bar
two_col_100107,v_bar
two_col_1759,v_bar
two_col_20550,h_bar
multi_col_767,v_bar
two_col_62723,h_bar
two_col_283,line
multi_col_20149,h_bar
multi_col_80153,v_bar
two_col_100557,h_bar
two_col_1309,v_bar
two_col_41413,line
two_col_104847,h_bar
two_col_6136,v_bar
two_col_102090,h_bar
two_col_100804,v_bar
two_col_102839,h_bar
two_col_42395,h_bar
two_col_24143,v_bar
multi_col_101275,h_bar
two_col_2175,v_bar
two_col_23686,v_bar
two_col_40652,v_bar
two_col_83366,v_bar
two_col_63098,line
OECD_AVERAGE_WAGES_CAN_CZE_ISL_MEX_USA_000042,line
two_col_24513,v_bar
two_col_2525,v_bar
two_col_101346,h_bar
two_col_40202,pie
6831,h_bar
two_col_4808,v_bar
two_col_20803,v_bar
two_col_102993,h_bar
two_col_103681,h_bar
two_col_21711,v_bar
two_col_104144,v_bar
two_col_80819,v_bar
90109130003762,h_bar
92375991000612,h_bar
two_col_23239,v_bar
two_col_41805,v_bar
two_col_83223,h_bar
two_col_63077,h_bar
two_col_100941,v_bar
two_col_2030,v_bar
two_col_24006,h_bar
two_col_20946,line
09847806002036,h_bar
two_col_82961,h_bar
two_col_2460,h_bar
two_col_23393,v_bar
two_col_24456,v_bar
